Model,f1_score,rouge_metric,technique
LDA,0.281,rouge-1,extractive
LDA,0.04,rouge-2,extractive
LDA,0.228,rouge-l,extractive
LDA,0.085,rouge-su,extractive
LDA,0.269,rouge-1,paraphrased
LDA,0.038,rouge-2,paraphrased
LDA,0.217,rouge-l,paraphrased
LDA,0.076,rouge-su,paraphrased
LSA,0.27,rouge-1,extractive
LSA,0.036,rouge-2,extractive
LSA,0.234,rouge-l,extractive
LSA,0.075,rouge-su,extractive
LSA,0.222,rouge-1,paraphrased
LSA,0.034,rouge-2,paraphrased
LSA,0.205,rouge-l,paraphrased
LSA,0.06,rouge-su,paraphrased
TFIDF,0.12,rouge-1,extractive
TFIDF,0,rouge-2,extractive
TFIDF,0.103,rouge-l,extractive
TFIDF,0.025,rouge-su,extractive
TFIDF,0.124,rouge-1,paraphrased
TFIDF,0,rouge-2,paraphrased
TFIDF,0.108,rouge-l,paraphrased
TFIDF,0.025,rouge-su,paraphrased
